Date,Total Renewable Energy Production
1973-01-31,0.403981
1973-02-28,0.3609
1973-03-31,0.400161
1973-04-30,0.38047
1973-05-31,0.392141
1973-06-30,0.377232
1973-07-31,0.367325
1973-08-31,0.353757
1973-09-30,0.307006
1973-10-31,0.323453
1973-11-30,0.337817
1973-12-31,0.406694
1974-01-31,0.437467
1974-02-28,0.399942
1974-03-31,0.423474
1974-04-30,0.422323
1974-05-31,0.427657
1974-06-30,0.409281
1974-07-31,0.409719
1974-08-31,0.386101
1974-09-30,0.35391
1974-10-31,0.343703
1974-11-30,0.351633
1974-12-31,0.376642
1975-01-31,0.392756
1975-02-28,0.368278
1975-03-31,0.42349
1975-04-30,0.405368
1975-05-31,0.421283
1975-06-30,0.411622
1975-07-31,0.398459
1975-08-31,0.36823
1975-09-30,0.341957
1975-10-31,0.368786
1975-11-30,0.383196
1975-12-31,0.403696
1976-01-31,0.421775
1976-02-29,0.396173
1976-03-31,0.427044
1976-04-30,0.396931
1976-05-31,0.415728
1976-06-30,0.411555
1976-07-31,0.421425
1976-08-31,0.398129
1976-09-30,0.356984
1976-10-31,0.369186
1976-11-30,0.351386
1976-12-31,0.360834
1977-01-31,0.378521
1977-02-28,0.304328
1977-03-31,0.368966
1977-04-30,0.351301
1977-05-31,0.356923
1977-06-30,0.336485
1977-07-31,0.336903
1977-08-31,0.335881
1977-09-30,0.328075
1977-10-31,0.341368
1977-11-30,0.370168
1977-12-31,0.400048
1978-01-31,0.438983
1978-02-28,0.391866
1978-03-31,0.433459
1978-04-30,0.434379
1978-05-31,0.475883
1978-06-30,0.432628
1978-07-31,0.431461
1978-08-31,0.408417
1978-09-30,0.392287
1978-10-31,0.379436
1978-11-30,0.379078
1978-12-31,0.407564
1979-01-31,0.447796
1979-02-28,0.390487
1979-03-31,0.457799
1979-04-30,0.445932
1979-05-31,0.48908
1979-06-30,0.441683
1979-07-31,0.424513
1979-08-31,0.40921
1979-09-30,0.378903
1979-10-31,0.397602
1979-11-30,0.41474
1979-12-31,0.425109
1980-01-31,0.478943
1980-02-29,0.424298
1980-03-31,0.469134
1980-04-30,0.477356
1980-05-31,0.517456
1980-06-30,0.497768
1980-07-31,0.471331
1980-08-31,0.429358
1980-09-30,0.401712
1980-10-31,0.402564
1980-11-30,0.409876
1980-12-31,0.448546
1981-01-31,0.462381
1981-02-28,0.427043
1981-03-31,0.443808
1981-04-30,0.43802
1981-05-31,0.480423
1981-06-30,0.496995
1981-07-31,0.491304
1981-08-31,0.454028
1981-09-30,0.40722
1981-10-31,0.416966
1981-11-30,0.418476
1981-12-31,0.477024
1982-01-31,0.51444
1982-02-28,0.489624
1982-03-31,0.544724
1982-04-30,0.517128
1982-05-31,0.525795
1982-06-30,0.518974
1982-07-31,0.519267
1982-08-31,0.483203
1982-09-30,0.433748
1982-10-31,0.439874
1982-11-30,0.46993
1982-12-31,0.52293
1983-01-31,0.562279
1983-02-28,0.523276
1983-03-31,0.572853
1983-04-30,0.561458
1983-05-31,0.581741
1983-06-30,0.569493
1983-07-31,0.550993
1983-08-31,0.528288
1983-09-30,0.476173
1983-10-31,0.474251
1983-11-30,0.507035
1983-12-31,0.587773
1984-01-31,0.570081
1984-02-29,0.535239
1984-03-31,0.57904
1984-04-30,0.566019
1984-05-31,0.593504
1984-06-30,0.553321
1984-07-31,0.547618
1984-08-31,0.524053
1984-09-30,0.47091
1984-10-31,0.47962
1984-11-30,0.48611
1984-12-31,0.532347
1985-01-31,0.555205
1985-02-28,0.511838
1985-03-31,0.525002
1985-04-30,0.512937
1985-05-31,0.542968
1985-06-30,0.50733
1985-07-31,0.489577
1985-08-31,0.475912
1985-09-30,0.454274
1985-10-31,0.475406
1985-11-30,0.499606
1985-12-31,0.53396
1986-01-31,0.486064
1986-02-28,0.479122
1986-03-31,0.558538
1986-04-30,0.539897
1986-05-31,0.545072
1986-06-30,0.527412
1986-07-31,0.513292
1986-08-31,0.482847
1986-09-30,0.472114
1986-10-31,0.482113
1986-11-30,0.492321
1986-12-31,0.532346
1987-01-31,0.521265
1987-02-28,0.452878
1987-03-31,0.498782
1987-04-30,0.477656
1987-05-31,0.509032
1987-06-30,0.466873
1987-07-31,0.467691
1987-08-31,0.448986
1987-09-30,0.437201
1987-10-31,0.442655
1987-11-30,0.423208
1987-12-31,0.47558
1988-01-31,0.495132
1988-02-29,0.446663
1988-03-31,0.469098
1988-04-30,0.455993
1988-05-31,0.486212
1988-06-30,0.453891
1988-07-31,0.442602
1988-08-31,0.437214
1988-09-30,0.426312
1988-10-31,0.422602
1988-11-30,0.448903
1988-12-31,0.472132
1989-01-31,0.509148
1989-02-28,0.461436
